0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
,,,,,,,,,,,,,,,,TOP BƯU CỤC %GTC TỆ NHẤT,,,,,,,,,,,,,,,,TOP  20 BƯU CỤC %GTC TỐT NHẤT,,,,,,,,,,,,,,
AM,Chi tiết,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,,,Chi tiết,AM,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,%Tồn,,Chi tiết,AM,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,%Tồn
AM Khánh,(BTH) Bắc Bình,2026-07-09 - Thứ 5,794,613,665,129,537,14,243,"83,75%","16,25%","67,63%","1,76%",,,(BTH) Hàm Thuận,AM Khánh,2026-07-09 - Thứ 5,1645,1013,1317,328,1041,27,577,"80,06%","19,94%","63,28%","1,64%","35,08%",,(KHO) Tây Nha Trang,AM Duy,2026-07-09 - Thứ 5,916,709,901,15,665,20,231,"98,36%","1,64%","72,60%","2,18%","25,22%"
,(BTH) Đồng Kho,2026-07-09 - Thứ 5,1.538,1.024,1.140,398,911,23,604,"74,12%","25,88%","59,23%","1,50%",,,(DNO) Trường Xuân,AM Nhung,2026-07-09 - Thứ 5,446,331,441,5,284,17,145,"98,88%","1,12%","63,68%","3,81%","32,51%",,(KHO) Bắc Cam Ranh,AM Công,2026-07-09 - Thứ 5,811,660,741,70,584,11,216,"91,37%","8,63%","72,01%","1,35%","26,64%"
,(BTH) Đức Linh,2026-07-09 - Thứ 5,1.998,1.508,1.611,387,1.323,31,644,"80,63%","19,37%","66,21%","1,55%",,,(DNO) Bắc Gia Nghĩa,AM Phước,2026-07-09 - Thứ 5,567,385,447,120,364,7,196,"78,84%","21,16%","64,20%","1,24%","34,57%",,(KHO) Nam Nha Trang 3,AM Thư,2026-07-09 - Thứ 5,758,552,718,40,544,15,199,"94,72%","5,28%","71,77%","1,98%","26,25%"
,(BTH) Hàm Liêm,2026-07-09 - Thứ 5,1.189,855,1.021,168,828,23,338,"85,87%","14,13%","69,64%","1,94%",,,(LDO) Đam Rông 3,AM Chi,2026-07-09 - Thứ 5,816,630,779,37,531,21,264,"95,46%","4,54%","65,07%","2,57%","32,35%",,(NTH) Bảo An,AM D.Long,2026-07-09 - Thứ 5,1525,1175,1445,80,1093,34,398,"94,76%","5,24%","71,67%","2,23%","26,10%"
,(BTH) Hàm Thắng,2026-07-09 - Thứ 5,1.492,1.222,1.385,107,1.147,32,313,"92,83%","7,17%","76,87%","2,14%",,,(LDO) Xuân Trường - Đà Lạt,AM Trường,2026-07-09 - Thứ 5,752,501,592,160,490,11,251,"78,72%","21,28%","65,16%","1,46%","33,38%",,(KHO) Diên Khánh 2,AM Phi,2026-07-09 - Thứ 5,1225,821,1071,154,876,26,323,"87,43%","12,57%","71,51%","2,13%","26,36%"
,(BTH) Hàm Thuận,2026-07-09 - Thứ 5,1.645,1.013,1.317,328,1.041,27,577,"80,06%","19,94%","63,28%","1,64%",,,(KHO) Nha Trang,AM Duy,2026-07-09 - Thứ 5,752,531,737,15,496,20,236,"98,00%","2,00%","65,96%","2,66%","31,39%",,(KHO) Ninh Hòa 2,AM Công,2026-07-09 - Thứ 5,1584,1224,1511,73,1123,43,418,"95,39%","4,61%","70,90%","2,71%","26,39%"
,(BTH) Lương Sơn,2026-07-09 - Thứ 5,526,226,492,34,402,8,116,"93,53%","6,47%","76,42%","1,52%",,,(DNO) Đông Gia Nghĩa,AM Phước,2026-07-09 - Thứ 5,793,550,777,16,524,23,246,"97,98%","2,02%","66,08%","2,90%","31,02%",,(LDO) 3 Bảo Lộc,AM Vũ,2026-07-09 - Thứ 5,1226,945,1067,159,868,16,342,"87,03%","12,97%","70,80%","1,31%","27,90%"
,(BTH) Mũi Né,2026-07-09 - Thứ 5,1.019,786,956,63,746,17,256,"93,82%","6,18%","73,21%","1,67%",,,(BTH) Đức Linh,AM Khánh,2026-07-09 - Thứ 5,1998,1508,1611,387,1323,31,644,"80,63%","19,37%","66,21%","1,55%","32,23%",,(NTH) Thuận Nam,AM D.Long,2026-07-09 - Thứ 5,861,800,723,138,603,23,235,"83,97%","16,03%","70,03%","2,67%","27,29%"
,(BTH) Phú Quý,2026-07-09 - Thứ 5,542,477,542,0,496,12,34,"100,00%","0,00%","91,51%","2,22%",,,(KHO) Diên Thọ,AM Phi,2026-07-09 - Thứ 5,725,576,655,70,483,18,224,"90,35%","9,65%","66,62%","2,49%","30,90%",,(NTH) Ninh Chử,AM D.Long,2026-07-09 - Thứ 5,1474,1043,1235,239,1032,24,418,"83,79%","16,21%","70,01%","1,63%","28,36%"
,(BTH) Phú Thủy,2026-07-09 - Thứ 5,1.740,1.381,1.677,63,1.419,39,282,"96,38%","3,62%","81,55%","2,24%",,,(LDO) Đạ Huoai,AM Vũ,2026-07-09 - Thứ 5,855,566,691,164,575,12,268,"80,82%","19,18%","67,25%","1,40%","31,34%",,(LDO) Nam Ban Lâm Hà,AM Chi,2026-07-09 - Thứ 5,645,468,569,76,450,15,180,"88,22%","11,78%","69,77%","2,32%","27,91%"
